date,BTC_price,ETH_price,BNB_price
2019-03-26,3985.080810546875,135.46035766601562,16.335664749145508
2019-03-27,4087.066162109375,140.9881591796875,16.781343460083008
2019-03-28,4069.107177734375,139.41647338867188,16.805330276489258
2019-03-29,4098.37451171875,142.49742126464844,16.510141372680664
2019-03-30,4106.66015625,142.09268188476562,16.932212829589844
2019-03-31,4105.404296875,141.51409912109375,17.401670455932617
2019-04-01,4158.18310546875,141.830322265625,17.950502395629883
2019-04-02,4879.8779296875,163.9617462158203,19.789783477783203
2019-04-03,4973.02197265625,161.45880126953125,18.753063201904297
2019-04-04,4922.798828125,158.0525360107422,19.142688751220703
2019-04-05,5036.68115234375,165.5148468017578,19.453466415405273
2019-04-06,5059.8173828125,165.94720458984375,19.115629196166992
2019-04-07,5198.89697265625,174.53164672851562,19.110271453857422
2019-04-08,5289.77099609375,180.25881958007812,18.11370277404785
2019-04-09,5204.95849609375,176.1145782470703,18.4350528717041
2019-04-10,5324.5517578125,177.3374786376953,18.248579025268555
2019-04-11,5064.48779296875,165.4970245361328,17.70047950744629
2019-04-12,5089.5390625,164.736328125,18.43427085876465
2019-04-13,5096.58642578125,164.5133514404297,18.719797134399414
2019-04-14,5167.72216796875,167.83851623535156,19.492019653320312
2019-04-15,5067.1083984375,161.5741729736328,19.40242576599121
2019-04-16,5235.5595703125,167.62344360351562,19.827455520629883
2019-04-17,5251.93798828125,166.9507598876953,19.603349685668945
2019-04-18,5298.3857421875,173.81402587890625,22.03847885131836
2019-04-19,5303.8125,173.70843505859375,24.47528076171875
2019-04-20,5337.88623046875,173.7512664794922,25.00752830505371
2019-04-21,5314.53125,170.04652404785156,24.193828582763672
2019-04-22,5399.365234375,171.87466430664062,23.908109664916992
2019-04-23,5572.3623046875,171.4477996826172,22.87626075744629
2019-04-24,5464.86669921875,165.8260955810547,23.12906837463379
2019-04-25,5210.515625,154.4593963623047,22.243106842041016
2019-04-26,5279.34814453125,156.3470916748047,22.869428634643555
2019-04-27,5268.291015625,158.4349365234375,22.34158706665039
2019-04-28,5285.13916015625,157.29507446289062,22.89933967590332
2019-04-29,5247.3525390625,155.20199584960938,21.705066680908203
2019-04-30,5350.7265625,162.16603088378906,22.127836227416992
2019-05-01,5402.697265625,160.81834411621094,21.95362091064453
2019-05-02,5505.28369140625,162.12278747558594,23.591930389404297
2019-05-03,5768.28955078125,167.95240783691406,23.7496280670166
2019-05-04,5831.16748046875,164.02658081054688,22.88483238220215
2019-05-05,5795.70849609375,163.45069885253906,23.01995277404785
2019-05-06,5746.80712890625,172.65321350097656,22.206634521484375
2019-05-07,5829.50146484375,169.7986602783203,20.864179611206055
2019-05-08,5982.45751953125,170.9481658935547,20.752676010131836
2019-05-09,6174.52880859375,170.289306640625,18.82835578918457
2019-05-10,6378.84912109375,173.1427459716797,19.598108291625977
2019-05-11,7204.771484375,194.30433654785156,21.049442291259766
2019-05-12,6972.37158203125,187.3253173828125,20.830297470092773
2019-05-13,7814.9150390625,196.84628295898438,23.81102752685547
2019-05-14,7994.416015625,217.14857482910156,23.626419067382812
2019-05-15,8205.16796875,247.15306091308594,26.894939422607422
2019-05-16,7884.9091796875,264.010009765625,26.3258056640625
2019-05-17,7343.8955078125,243.76458740234375,25.682571411132812
2019-05-18,7271.2080078125,234.59523010253906,28.396793365478516
2019-05-19,8197.689453125,261.2922058105469,29.412843704223633
2019-05-20,7978.30908203125,251.86441040039062,29.305387496948242
